techMdExtractorName,extractorProperty,classificationProperty
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.BitDepth,audio.bit_depth
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.BitRate,audio.bit_rate
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.BitRate_Mode,audio.bit_rate_mode
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Commercial_Name,audio.commercial_name
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Channels,audio.channel_s_
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.CodecID,audio.codec_ID
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Compression_Mode,audio.compression_mode
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Default,audio.default
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Duration,audio.duration
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.encoded_library,audio.encoded_library
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Format,audio.format
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Format_Profile,audio.format_profile
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Format_Settings_Sign,audio.format_settings_sign
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Format_Settings_Wrapping,audio.format_Settings_Wrapping
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Format_Version,audio.format_version
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Forced,audio.forced
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.FrameRate,audio.frame_rate
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.ID,audio.ID
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.SamplingRate,audio.sampling_rate
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.ServiceKind,audio.service_kind
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.StreamSize,audio.stream_size
MediaInfoMDExtractorPlugin,mediainfo.track.Audio.Title,audio.title
MediaInfoMDExtractorPlugin,mediainfo.track.General.AudioCount,general.audio_count
MediaInfoMDExtractorPlugin,mediainfo.track.General.CodecID,general.codec_ID
MediaInfoMDExtractorPlugin,mediainfo.track.General.CompleteName,general.complete_name
MediaInfoMDExtractorPlugin,mediainfo.track.General.Duration,general.duration
MediaInfoMDExtractorPlugin,mediainfo.track.General.Encoded_Application_CompanyName,general.encoded_application_company_name
MediaInfoMDExtractorPlugin,mediainfo.track.General.Encoded_Application_Name,general.encoded_application_name
